PointCloud,H1_Birth,H1_Death
Fp1_Col1_Fp1_Col2,11.35183907,11.37988663
Fp1_Col1_Fp1_Col2,11.25375557,17.90933037
Fp1_Col1_Fp1_Col2,11.23636723,13.50921535
Fp1_Col1_Fp1_Col2,11.22231674,13.0172863
Fp1_Col1_Fp1_Col2,11.20081329,12.42839241
Fp1_Col1_Fp1_Col2,11.10033131,11.39129353
Fp1_Col1_Fp1_Col2,11.05431461,15.27582741
Fp1_Col1_Fp1_Col2,11.05390358,12.45674992
Fp1_Col1_Fp1_Col2,10.99000931,13.47294521
Fp1_Col1_Fp1_Col2,10.95339584,11.06356239
Fp1_Col1_Fp1_Col2,10.93991184,16.59062004
Fp1_Col1_Fp1_Col2,10.93497372,14.87974644
Fp1_Col1_Fp1_Col2,10.91881275,14.76420879
Fp1_Col1_Fp1_Col2,10.9063673,10.90777683
Fp1_Col1_Fp1_Col2,10.90489674,19.18884087
Fp1_Col1_Fp1_Col2,10.88604927,13.96688843
Fp1_Col1_Fp1_Col2,10.81888485,14.15775585
Fp1_Col1_Fp1_Col2,10.78008175,11.52420616
Fp1_Col1_Fp1_Col2,10.77456284,11.56511307
Fp1_Col1_Fp1_Col2,10.76074123,12.46411514
Fp1_Col1_Fp1_Col2,10.71623516,15.28756046
Fp1_Col1_Fp1_Col2,10.71487236,18.5887661
Fp1_Col1_Fp1_Col2,10.70922852,10.80386066
Fp1_Col1_Fp1_Col2,10.66075325,13.59629726
Fp1_Col1_Fp1_Col2,10.61308956,17.31384087
Fp1_Col1_Fp1_Col2,10.58843708,14.0555563
Fp1_Col1_Fp1_Col2,10.52150631,11.51622105
Fp1_Col1_Fp1_Col2,10.51675034,10.83390427
Fp1_Col1_Fp1_Col2,10.4814806,10.60959148
Fp1_Col1_Fp1_Col2,10.39939308,12.22484589
Fp1_Col1_Fp1_Col2,10.3710022,15.06580162
Fp1_Col1_Fp1_Col2,10.36487198,16.14208031
Fp1_Col1_Fp1_Col2,10.3460474,11.78025532
Fp1_Col1_Fp1_Col2,10.31301117,11.54244328
Fp1_Col1_Fp1_Col2,10.29831886,14.91869259
Fp1_Col1_Fp1_Col2,10.28235626,10.93375492
Fp1_Col1_Fp1_Col2,10.2289362,10.2401495
Fp1_Col1_Fp1_Col2,10.22209358,11.47863102
Fp1_Col1_Fp1_Col2,10.21886444,10.75143147
Fp1_Col1_Fp1_Col2,10.19040012,20.89732933
Fp1_Col1_Fp1_Col2,10.17117214,10.58173275
Fp1_Col1_Fp1_Col2,10.15924358,11.43912125
Fp1_Col1_Fp1_Col2,10.15699005,10.71073437
Fp1_Col1_Fp1_Col2,10.1311903,10.8028574
Fp1_Col1_Fp1_Col2,10.1201973,11.46348476
Fp1_Col1_Fp1_Col2,10.11230278,14.76744175
Fp1_Col1_Fp1_Col2,10.09962177,13.68737984
Fp1_Col1_Fp1_Col2,10.08089924,10.56266212
Fp1_Col1_Fp1_Col2,10.07910824,10.94665718
Fp1_Col1_Fp1_Col2,10.04234982,15.73393536
Fp1_Col1_Fp1_Col2,10.00695229,11.53914452
Fp1_Col1_Fp1_Col2,9.998971939,10.00127602
Fp1_Col1_Fp1_Col2,9.979857445,10.33746815
Fp1_Col1_Fp1_Col2,9.958900452,10.86628056
